gov_NAME1_,water_productivity,surface_water_mean,ground_water_mean,supply_demand_ratio,water_supply,water_demand,gdp_pc,rwi_median,precipitation,potentialevapotransporation,drain_length,canal_length,cattle,chicken,goats,sheeps,fraction_small,fraction_medium,fraction_large,arable_km2_scaled,producer_price,rural_population,salinity,corrected_yield_pp,corrected_yield_Alfalfa for forage,corrected_yield_Maize (incl. 0067 and 0068),"corrected_yield_Rice, paddy",corrected_yield_Sugar cane,corrected_yield_Wheat,hectares_Alfalfa for forage,hectares_Maize (incl. 0067 and 0068),"hectares_Rice, paddy",hectares_Sugar cane,hectares_Wheat,arable_km2
Giza,3.07701396678223e-05,0.0008425109095689074,4.446910259036423e-05,20.121153070119487,27294.51894230199,27296.03620468686,9287.530741068487,0.29448782411993657,204.46206584534025,23217.110771715496,764.8755307757298,978.8791894904859,1.8315302881279099,110.77065774465795,1.539898144266347,2.004361977505636,0.8969773188050443,0.04108581949887946,0.0,0.44447027762612595,30973644.06572095,20672.043298665067,7.737278649739359,648094985.4764918,500425671.0868787,69639721.06958757,35972004.71711024,68514778.14423507,111137527.64934115,7027.296737652584,16172.20479191962,5286.792421579998,730.2680847256376,16819.863374128712,621.520840411947
Ismailia,1.5785363561164632e-05,0.0007563216518957355,2.955504469665991e-05,28.263614198096835,8932.001993715481,9317.67325663705,13420.24160358299,0.04753514429104294,557.8374860761413,21090.845116653592,173.74157093399668,272.8988187530907,0.639835213837464,24.49379820658714,0.5261383224788951,0.6690034453731308,0.2968101856304614,0.4648482315599309,0.0019230022685561834,0.36452644920742716,51259760.9822487,35503.81713141798,6.413823359486411,608115521.9059628,484349380.1948535,52061076.85293694,14660800.257585423,530068.04248473,105206659.7870716,7336.243323851234,12235.878817214601,1808.2539944784635,6.225286486710871,15866.997262436613,894.8193087998818
Kafr-El-Sheikh,9.699277181718663e-06,0.0008353207432642322,4.06145027146833e-05,50.1332165890168,7044.366687934671,8115.881792973423,12561.17535169922,0.1875278436330181,988.0677369725827,19321.088918846017,561.9248563750012,663.8624584228496,1.7818374455710564,52.25078914212838,0.6289009223748848,1.2502166127478662,0.9814163619984707,7.95885673751415e-06,0.0,0.4715229025298768,17915652.997858264,62008.2159564674,3.145837934681032,1789426309.230846,1466888266.9168124,66913524.63764226,47781690.12925617,32784398.767997734,249825109.6847404,17668.980015443824,15295.194827987858,5365.676122751609,323.55526148501247,35689.30686698233,1441.054921607349
Kalyoubia,3.2066574713393345e-05,0.0019614957635580763,0.00010091026609299197,21.224014508052235,13748.957539765586,13851.484111190319,13717.531073405784,0.35685261181005723,222.95153677062063,22153.17440140735,480.74549084319,897.349736402128,10.371644742719594,303.62838276901385,5.051720643308243,6.281818438205516,0.968760798994955,0.012089115810629089,0.001157144586407822,0.4680857098988168,25884210.38483412,16402.1439237744,5.248311242802018,660444778.482283,489953033.094031,70750289.68786813,93091483.89086926,9770909.895355172,99854119.94592932,7495.313558399919,14891.724824665176,19230.191706096222,99.71993750144932,14629.849635797338,467.95888828409034
Luxor,5.8639914538211605e-05,0.002810545414718085,8.293053798370243e-05,42.564904879969184,14937.265307475915,14946.988722372087,12946.773067907065,0.32871622254081523,4.6767288823319495,26517.974074845228,389.38672599545686,893.146534958355,5.520877661401966,64.65668869310772,6.93062356419339,9.547697178262363,0.998021481079237,0.0,0.0,0.45544727373691285,25370747.884698816,14320.487734223649,2.4762858837182256,420242269.3104581,276818371.54741603,50004044.29075017,60033465.76683078,694400.8206464243,162654925.370537,3871.9984935133634,9607.82643715788,6583.399894598405,6.460647241139508,23236.419330491794,89.23068309650648
Matrouh,3.780839141128689e-06,0.0006074732022610829,4.54983622697439e-05,89.47376978357487,7903.150701192691,7903.15760361793,9474.10882530621,-0.004298249022742158,1223.8134524857758,19664.90362084468,450.4757804786682,476.8350967402221,0.8929416627253705,13.36949011102519,0.6936270851574065,1.4026564920323705,0.5352766997669122,0.4212149748636542,0.030488186054888376,0.4714924496053783,14461728.265901823,132054.653996792,3.6218087317021066,1745336854.2514846,1315118350.0460694,178971518.48471025,156635708.4148291,2565107.7831953606,338434128.6026563,16151.163724964044,32272.071370610585,20889.085155060337,25.768847032641027,48347.74628748015,154.79020184378106
Menia,1.8734402455670465e-05,0.0010411367049854598,5.133467305024511e-05,66.70674006840481,9278.325967375613,9292.068217242437,12509.052332592111,0.19708075176595413,29.49287976915284,24796.325238567904,559.805133571981,1094.1341580969645,2.881321124422023,85.23679074413887,3.326113902229411,3.2599120183114,0.972472182079574,0.02325253152604492,0.0,0.46532020816317465,19647311.003510512,53030.56257775656,4.456670009910336,2288760776.345673,1747835642.2245963,380127257.9383432,39621255.20297157,337894212.87311274,448183945.67714024,22491.17867802887,76504.27286068472,5783.0022632543905,3462.114944567953,64026.2761712437,1192.0460353347717
Menoufia,1.4937239324988658e-05,0.0011671724921733953,0.00011439442677604727,24.630061488249158,54601.89618280083,55435.36960154348,12213.538975862331,0.2911975648660925,418.2072958177288,21988.711538309173,484.6604818044893,963.6660775866475,7.047521250925157,168.62004564953637,3.0312247294546353,4.969179967505779,0.9627886430859052,0.034314518301732,0.0,0.4761860712505206,80467730.06104174,23421.762932738748,2.668550888989326,1713270757.9300585,1414546315.2308223,133807225.68454993,53196981.05679178,49402047.211639285,137037410.8538907,17858.909576191614,22748.08964973312,6979.977599021203,514.5675086129567,19577.479345138014,757.8672516092827
New Valley/El-Wadi El-Gidid,6.0424528234347535e-05,0.0011266477383160304,2.1848233804231955e-05,13.173921949083914,3646.162834379756,3673.301057055977,9761.35844439042,0.12989823032200282,6.915741286184007,27329.838557860807,402.583146842532,1394.0254963819589,2.7778197381032244,46.25527307527432,4.366048121406576,4.405820296681062,0.9884224816046591,0.009531785157105682,0.0,0.45481923367477456,18569915.499707144,9147.571990402586,4.344682026451517,275816719.8997518,161042727.07462537,39404149.09847582,105366973.43219434,13043798.504199855,68378973.71364705,2606.3999628053625,6541.98741212907,13136.61814420484,124.2102798419941,9768.425712989196,41.990806291063365
North Sinai,2.400426092801849e-08,0.0008939392511217331,1.446240971921319e-05,19.39429664611816,13.99325919984995,14.85370880729728,15225.37136118178,-0.0205,770.0915801687024,19839.2516804051,122.3398961828693,194.2241597952164,0.3191685556696778,6.075253219961686,0.281260036990491,0.1715722690956062,0.0,0.7107126002831524,0.0,0.34183762685954466,55685.89313603766,20529.669921875,11.453023842402867,24012168.3046875,14079201.0,539966.3,8405095.0,1466542.8,9300765.0,3550.1806899999997,4310.1501,1152.6475,14.6523,5776.8765,0.014594786191668329
Port-Said,1.986297743456094e-05,0.0007452910541138255,1.0755100321462515e-05,26.615333342535767,8277.71191830845,8985.279953762538,15772.473130203001,-0.15925229834858157,757.4785991819589,20366.225032281844,336.1644641527526,397.7646567025682,0.4229005523335614,7.879860481680308,0.37454854617973654,0.4307437522021593,0.23860410928437686,0.606082126778528,0.0,0.4065740952374439,60031535.425489955,37249.17713524258,8.862940863171145,298638652.8929511,238805589.37552705,537789.1086551714,5784774.86471375,850343.3361967421,72231735.7317683,6574.316998930095,9227.11601005048,749.0126439596118,8.41794143705319,14766.967260716101,255.2052888158466
Quena,6.630040785604844e-05,0.0025050989645249897,6.776535986210868e-05,31.254727148701225,11245.159692457824,11264.62135338833,10286.870326399698,0.2805556593883039,6.982944418541581,26673.308064992914,424.0683196781569,1057.2497787335572,5.665976842746718,80.79479394800488,7.384313058650575,9.118263577314533,0.9981867318899644,0.0,0.0,0.45666333028456707,21491453.391644426,11335.698762553018,3.0577045306430595,386668057.59175897,251769046.6025907,51389411.714199215,58008070.8638136,187970628.11146206,130236408.32016653,3597.028394815702,9185.212717174078,7100.535130440679,2052.401924141113,18605.202461136985,694.4328158389764
Sharkia,4.349955148627286e-05,0.0011342038259219104,4.114529121003282e-05,53.42057693621305,17195.411878368875,17984.461541765886,12000.744102256613,0.15115483150884387,462.3359155179636,21533.52459585304,438.83543793095873,718.612519049751,3.418338326424673,116.1880144733869,1.8792279957219171,2.323773409581037,0.880378376261549,0.0917340947144238,0.001226581793183347,0.4657485743020759,76170171.89658841,52882.82234110254,4.638101308383376,1562504459.005967,1248302428.9455404,122058569.66340533,14289066.462507525,4747072.850574353,301578360.08511394,15565.233123418198,28235.176002645894,1949.8262298040781,48.092599308600306,43553.90417726028,2216.949837298426
Suez,6.2769539080928216e-06,0.0005472172424958883,1.0507909199330591e-05,12.321444608882876,3659.1438197095363,3884.145645109595,11501.771467753,0.1264088066210246,929.1332536414224,20715.21537521878,189.81648619960131,232.667214911609,0.23360292788671566,5.083895185506839,0.17233156662117155,0.1656014695548622,0.0,0.6516438509822421,0.0,0.30984600064365203,21626652.324055433,21918.688918386706,5.06471611006185,210043060.5958154,161743383.3895388,11477552.480080083,29628157.47315484,343106.2488674953,23847500.322776526,3463.261401806927,4261.906856427063,3810.7591823729417,4.594378935562204,3406.7863709478193,135.01160354947802
Suhag,1.3228273372362005e-05,0.003238122745177592,0.00013794115533351093,95.1334922300226,6247.700309713608,6248.930571363177,10849.340294440193,0.2609527498314634,17.538758027453422,26202.28116954493,359.8632549966525,1447.0216088823452,9.150196177474262,221.36443512656936,10.61900754197041,10.744600088016291,0.9952084138351973,0.0,0.0,0.4583609162381758,3124502.350415422,27602.268652831346,2.2771909362526017,2379034876.760578,1759103179.773579,496854621.8887188,13131899.341299193,3227388.0918396874,626166368.361495,23162.681529487712,77717.80549207858,1633.716525085446,35.35827980008955,89452.34575329343,746.6456018603676
